"","x"
"1","Washington"
"2","Newport News"
"3","Erie"
"4","Warren"
"5","Franklin"
"6","Tyrrell"
"7","Fairfax"
"8","Emporia"
"9","Cabarrus"
"10","Hopewell"
"11","New Hanover"
"12","Alexandria"
"13","Lynchburg"
"14","Greene"
"15","Orange"
"16","Durham"
"17","Charlotte"
"18","Union"
"19","King George"
"20","Nottoway"
"21","McKean"
"22","Manassas"
"23","Lebanon"
"24","Fredericksburg"
"25","Sullivan"
"26","Wayne"
"27","Granville"
"28","Falls Church"
"29","Petersburg"
"30","Brunswick"
"31","Hoke"
"32","Catawba"
"33","Greene"
"34","Radford"
"35","Person"
"36","Roanoke"
"37","Charles City"
"38","Williamsburg"
"39","Hampton"
"40","Poquoson"
"41","Winchester"
"42","Norfolk"
"43","Norton"
"44","Cameron"
"45","Charlottesville"
"46","Butler"
"47","Chesapeake"
"48","Tioga"
"49","Appomattox"
"50","Wyoming"
"51","Lincoln"
"52","Staunton"
"53","Covington"
"54","Gloucester"
"55","Baltimore"
"56","Avery"
"57","Pamlico"
"58","Northampton"
"59","Rowan"
"60","Columbia"
"61","Sumter"
"62","Dorchester"
"63","Culpeper"
"64","Franklin"
"65","Queen Anne's"
"66","St. Mary's"
"67","Montour"
"68","Cumberland"
"69","Mifflin"
"70","Hyde"
"71","Yancey"
"72","Marion"
"73","Lee"
"74","Westmoreland"
"75","Pittsylvania"
"76","Cecil"
"77","Lackawanna"
"78","Clay"
"79","Swain"
"80","Cleveland"
"81","Chesterfield"
"82","Mecklenburg"
"83","Montgomery"
"84","Saluda"
"85","Anne Arundel"
"86","Orangeburg"
"87","McCormick"
"88","Henry"
"89","Isle of Wight"
"90","Scott"
"91","Potter"
"92","Iredell"
"93","Armstrong"
"94","Bedford"
"95","Manassas Park"
"96","Charleston"
"97","Ashe"
"98","Russell"
"99","Colonial Heights"
"100","Allegheny"
"101","Beaufort"
"102","Fairfax"
"103","Pickens"
"104","Newberry"
"105","Rockingham"
"106","Clarendon"
"107","Calvert"
"108","Bucks"
"109","Polk"
"110","Nash"
"111","Campbell"
"112","Rappahannock"
"113","Botetourt"
"114","Mitchell"
"115","Baltimore"
"116","Wythe"
"117","Clarke"
"118","Halifax"
"119","Suffolk"
"120","Rutherford"
"121","Richmond"
"122","Randolph"
"123","Stanly"
"124","Edgecombe"
"125","Roanoke"
"126","Madison"
"127","Rockbridge"
"128","Calhoun"
"129","Marlboro"
"130","Virginia Beach"
"131","Augusta"
"132","Lexington"
"133","Warren"
"134","Craig"
"135","Lancaster"
"136","Oconee"
"137","Davidson"
"138","Wilson"
"139","Lehigh"
"140","Lexington"
"141","Lee"
"142","Pender"
"143","Beaufort"
"144","Greenville"
"145","Johnston"
"146","Watauga"
"147","Kershaw"
"148","Allendale"
"149","Montgomery"
"150","Charles"
"151","Frederick"
"152","Surry"
"153","Yadkin"
"154","Wake"
"155","Anson"
"156","Chester"
"157","Richmond"
"158","Prince William"
"159","Montgomery"
"160","Robeson"
"161","Wilkes"
"162","York"
"163","Henderson"
"164","Caroline"
"165","Amelia"
"166","Middlesex"
"167","Louisa"
"168","Lunenburg"
"169","Mathews"
"170","Somerset"
"171","Pitt"
"172","Bertie"
"173","Adams"
"174","Blair"
"175","Washington"
"176","Davie"
"177","Aiken"
"178","Buckingham"
"179","Caroline"
"180","Richmond"
"181","Duplin"
"182","Clarion"
"183","Edgefield"
"184","Alleghany"
"185","Dinwiddie"
"186","Clinton"
"187","Patrick"
"188","Juniata"
"189","Lancaster"
"190","Vance"
"191","Surry"
"192","Burke"
"193","Snyder"
"194","Spotsylvania"
"195","Westmoreland"
"196","Bristol"
"197","Buena Vista"
"198","Scotland"
"199","Carroll"
"200","Anderson"
"201","Lee"
"202","Essex"
"203","Madison"
"204","Martinsville"
"205","Chesterfield"
"206","Chatham"
"207","Hampton"
"208","Transylvania"
"209","Lawrence"
"210","Galax"
"211","Cherokee"
"212","Carbon"
"213","Centre"
"214","Nelson"
"215","Forest"
"216","Prince Edward"
"217","King and Queen"
"218","Franklin"
"219","Bladen"
"220","Stafford"
"221","Caldwell"
"222","Harford"
"223","Kent"
"224","Alamance"
"225","Williamsburg"
"226","Loudoun"
"227","Worcester"
"228","Giles"
"229","Accomack"
"230","Northampton"
"231","Macon"
"232","Brunswick"
"233","Harnett"
"234","Union"
"235","Darlington"
"236","Beaver"
"237","Crawford"
"238","New Kent"
"239","Dillon"
"240","Georgetown"
"241","Horry"
"242","Richland"
"243","Arlington"
"244","Tazewell"
"245","Cambria"
"246","Bland"
"247","Fayette"
"248","Pike"
"249","Jones"
"250","Highland"
"251","Wayne"
"252","Fauquier"
"253","Frederick"
"254","Bath"
"255","Alexander"
"256","Columbus"
"257","Clearfield"
"258","Martin"
"259","Perquimans"
"260","Carroll"
"261","Colleton"
"262","Portsmouth"
"263","Albemarle"
"264","Hertford"
"265","Susquehanna"
"266","Carteret"
"267","Cumberland"
"268","Dickenson"
"269","Fairfield"
"270","Salem"
"271","Schuylkill"
"272","Bamberg"
"273","Cumberland"
"274","Currituck"
"275","Bradford"
"276","Dorchester"
"277","Haywood"
"278","Hanover"
"279","Prince George's"
"280","Greensville"
"281","Forsyth"
"282","Franklin"
"283","Alleghany"
"284","Rockingham"
"285","Shenandoah"
"286","Barnwell"
"287","Powhatan"
"288","Monroe"
"289","Garrett"
"290","Talbot"
"291","Jackson"
"292","Waynesboro"
"293","Southampton"
"294","Page"
"295","Berkeley"
"296","Northumberland"
"297","Montgomery"
"298","York"
"299","Philadelphia"
"300","Goochland"
"301","Fluvanna"
"302","Pasquotank"
"303","Graham"
"304","Chowan"
"305","James City"
"306","Gates"
"307","York"
"308","Camden"
"309","Cherokee"
"310","Floyd"
"311","Moore"
"312","Indiana"
"313","Wicomico"
"314","Buchanan"
"315","Elk"
"316","Huntingdon"
"317","Prince George"
"318","Dare"
"319","Somerset"
"320","McDowell"
"321","Chester"
"322","Gaston"
"323","Mecklenburg"
"324","Onslow"
"325","Spartanburg"
"326","Sampson"
"327","Grayson"
"328","Northampton"
"329","Perry"
"330","Jasper"
"331","Berks"
"332","Northumberland"
"333","Abbeville"
"334","Delaware"
"335","Greenwood"
"336","Orange"
"337","Greene"
"338","Wise"
"339","Caswell"
"340","Washington"
"341","Dauphin"
"342","Sussex"
"343","Harrisonburg"
"344","Henrico"
"345","Allegany"
"346","King William"
"347","Stokes"
"348","Howard"
"349","Fulton"
"350","Venango"
"351","Mercer"
"352","Lancaster"
"353","Warren"
"354","Amherst"
"355","Lycoming"
"356","Guilford"
"357","Laurens"
"358","Danville"
"359","Luzerne"
"360","Jefferson"
"361","Union"
"362","Buncombe"
"363","Pulaski"
"364","Lenoir"
"365","Bedford"
"366","Smyth"
"367","Halifax"
"368","Florence"
"369","Craven"
"370","Washington"
