"Year","County Code","County Name","GEOID","Month","Small Farm Unreported (mg)"
2002,67,"FRANKLIN",51067,1,0
2002,67,"FRANKLIN",51067,2,0
2002,67,"FRANKLIN",51067,3,0
2002,67,"FRANKLIN",51067,4,0.10506
2002,67,"FRANKLIN",51067,5,0.12669
2002,67,"FRANKLIN",51067,6,2.79954
2002,67,"FRANKLIN",51067,7,11.47626
2002,67,"FRANKLIN",51067,8,10.83045
2002,67,"FRANKLIN",51067,9,5.56509
2002,67,"FRANKLIN",51067,10,0
2002,67,"FRANKLIN",51067,11,0
2002,67,"FRANKLIN",51067,12,0
2002,37,"CHARLOTTE",51037,1,0
2002,37,"CHARLOTTE",51037,2,0
2002,37,"CHARLOTTE",51037,3,0
2002,37,"CHARLOTTE",51037,4,0.18863
2002,37,"CHARLOTTE",51037,5,0.68197
2002,37,"CHARLOTTE",51037,6,2.295482
2002,37,"CHARLOTTE",51037,7,4.463276
2002,37,"CHARLOTTE",51037,8,4.582258
2002,37,"CHARLOTTE",51037,9,3.708756
2002,37,"CHARLOTTE",51037,10,3.900288
2002,37,"CHARLOTTE",51037,11,8.534782
2002,37,"CHARLOTTE",51037,12,0.664558
2002,99,"KING GEORGE",51099,1,0.04914
2002,99,"KING GEORGE",51099,2,0.063882
2002,99,"KING GEORGE",51099,3,0.092664
2002,99,"KING GEORGE",51099,4,0.093366
2002,99,"KING GEORGE",51099,5,0.15444
2002,99,"KING GEORGE",51099,6,0.879606
2002,99,"KING GEORGE",51099,7,2.186028
2002,99,"KING GEORGE",51099,8,2.14461
2002,99,"KING GEORGE",51099,9,1.135134
2002,99,"KING GEORGE",51099,10,0.142506
2002,99,"KING GEORGE",51099,11,0.039312
2002,99,"KING GEORGE",51099,12,0.040014
2002,25,"BRUNSWICK",51025,1,0
2002,25,"BRUNSWICK",51025,2,0
2002,25,"BRUNSWICK",51025,3,0
2002,25,"BRUNSWICK",51025,4,0
2002,25,"BRUNSWICK",51025,5,0
2002,25,"BRUNSWICK",51025,6,0.987126
2002,25,"BRUNSWICK",51025,7,6.992874
2002,25,"BRUNSWICK",51025,8,0
2002,25,"BRUNSWICK",51025,9,0
2002,25,"BRUNSWICK",51025,10,0
2002,25,"BRUNSWICK",51025,11,0
2002,25,"BRUNSWICK",51025,12,0
2002,161,"ROANOKE",51161,1,0
2002,161,"ROANOKE",51161,2,0
2002,161,"ROANOKE",51161,3,0.26624
2002,161,"ROANOKE",51161,4,2.317952
2002,161,"ROANOKE",51161,5,1.807104
2002,161,"ROANOKE",51161,6,2.925312
2002,161,"ROANOKE",51161,7,3.8688
2002,161,"ROANOKE",51161,8,2.71232
2002,161,"ROANOKE",51161,9,1.634048
2002,161,"ROANOKE",51161,10,1.013376
2002,161,"ROANOKE",51161,11,0.096512
2002,161,"ROANOKE",51161,12,0
2002,36,"CHARLES CITY",51036,1,0.001984
2002,36,"CHARLES CITY",51036,2,0
2002,36,"CHARLES CITY",51036,3,0.001984
2002,36,"CHARLES CITY",51036,4,0.097712
2002,36,"CHARLES CITY",51036,5,0.261888
2002,36,"CHARLES CITY",51036,6,1.246448
2002,36,"CHARLES CITY",51036,7,1.826768
2002,36,"CHARLES CITY",51036,8,1.234048
2002,36,"CHARLES CITY",51036,9,0.278256
2002,36,"CHARLES CITY",51036,10,0.010912
2002,36,"CHARLES CITY",51036,11,0
2002,36,"CHARLES CITY",51036,12,0
2002,550,"CHESAPEAKE CITY",51550,1,0.070576
2002,550,"CHESAPEAKE CITY",51550,2,0.14436
2002,550,"CHESAPEAKE CITY",51550,3,0.506864
2002,550,"CHESAPEAKE CITY",51550,4,1.494928
2002,550,"CHESAPEAKE CITY",51550,5,2.078784
2002,550,"CHESAPEAKE CITY",51550,6,3.275368
2002,550,"CHESAPEAKE CITY",51550,7,2.43006
2002,550,"CHESAPEAKE CITY",51550,8,1.82054
2002,550,"CHESAPEAKE CITY",51550,9,1.867056
2002,550,"CHESAPEAKE CITY",51550,10,0.782752
2002,550,"CHESAPEAKE CITY",51550,11,0.598292
2002,550,"CHESAPEAKE CITY",51550,12,0.968816
2002,73,"GLOUCESTER",51073,1,0
2002,73,"GLOUCESTER",51073,2,0
2002,73,"GLOUCESTER",51073,3,0
2002,73,"GLOUCESTER",51073,4,0
2002,73,"GLOUCESTER",51073,5,4.0025
2002,73,"GLOUCESTER",51073,6,4.0025
2002,73,"GLOUCESTER",51073,7,8.005
2002,73,"GLOUCESTER",51073,8,0
2002,73,"GLOUCESTER",51073,9,0
2002,73,"GLOUCESTER",51073,10,0
2002,73,"GLOUCESTER",51073,11,0
2002,73,"GLOUCESTER",51073,12,0
2002,47,"CULPEPER",51047,1,0.119411
2002,47,"CULPEPER",51047,2,0.144404
2002,47,"CULPEPER",51047,3,0.688696
2002,47,"CULPEPER",51047,4,0.674811
2002,47,"CULPEPER",51047,5,2.338234
2002,47,"CULPEPER",51047,6,4.929175
2002,47,"CULPEPER",51047,7,7.264632
2002,47,"CULPEPER",51047,8,6.52595
2002,47,"CULPEPER",51047,9,3.237982
2002,47,"CULPEPER",51047,10,1.591221
2002,47,"CULPEPER",51047,11,0.13885
2002,47,"CULPEPER",51047,12,0.119411
2002,193,"WESTMORELAND",51193,1,0.194021
2002,193,"WESTMORELAND",51193,2,0.133926
2002,193,"WESTMORELAND",51193,3,0.384608
2002,193,"WESTMORELAND",51193,4,1.170994
2002,193,"WESTMORELAND",51193,5,1.792548
2002,193,"WESTMORELAND",51193,6,2.819314
2002,193,"WESTMORELAND",51193,7,3.413396
2002,193,"WESTMORELAND",51193,8,3.045958
2002,193,"WESTMORELAND",51193,9,2.117061
2002,193,"WESTMORELAND",51193,10,1.282599
2002,193,"WESTMORELAND",51193,11,0.649026
2002,193,"WESTMORELAND",51193,12,0.166549
2002,143,"PITTSYLVANIA",51143,1,0
2002,143,"PITTSYLVANIA",51143,2,0.00756
2002,143,"PITTSYLVANIA",51143,3,0.01134
2002,143,"PITTSYLVANIA",51143,4,0.09828
2002,143,"PITTSYLVANIA",51143,5,0.41958
2002,143,"PITTSYLVANIA",51143,6,4.9707
2002,143,"PITTSYLVANIA",51143,7,20.86182
2002,143,"PITTSYLVANIA",51143,8,9.93006
2002,143,"PITTSYLVANIA",51143,9,1.3797
2002,143,"PITTSYLVANIA",51143,10,0.1134
2002,143,"PITTSYLVANIA",51143,11,0.00378
2002,143,"PITTSYLVANIA",51143,12,0
2002,117,"MECKLENBURG",51117,1,0
2002,117,"MECKLENBURG",51117,2,0
2002,117,"MECKLENBURG",51117,3,0
2002,117,"MECKLENBURG",51117,4,0
2002,117,"MECKLENBURG",51117,5,11.839632
2002,117,"MECKLENBURG",51117,6,0.259518
2002,117,"MECKLENBURG",51117,7,9.987936
2002,117,"MECKLENBURG",51117,8,1.190042
2002,117,"MECKLENBURG",51117,9,0.088844
2002,117,"MECKLENBURG",51117,10,0.014028
2002,117,"MECKLENBURG",51117,11,0
2002,117,"MECKLENBURG",51117,12,0
2002,121,"MONTGOMERY",51121,1,0
2002,121,"MONTGOMERY",51121,2,0
2002,121,"MONTGOMERY",51121,3,0.08636
2002,121,"MONTGOMERY",51121,4,0.43053
2002,121,"MONTGOMERY",51121,5,1.2319
2002,121,"MONTGOMERY",51121,6,1.92151
2002,121,"MONTGOMERY",51121,7,2.93116
2002,121,"MONTGOMERY",51121,8,2.56286
2002,121,"MONTGOMERY",51121,9,2.28727
2002,121,"MONTGOMERY",51121,10,0.94996
2002,121,"MONTGOMERY",51121,11,0.24511
2002,121,"MONTGOMERY",51121,12,0.05207
2002,93,"ISLE OF WIGHT",51093,1,0
2002,93,"ISLE OF WIGHT",51093,2,0
2002,93,"ISLE OF WIGHT",51093,3,0.000697
2002,93,"ISLE OF WIGHT",51093,4,0.000697
2002,93,"ISLE OF WIGHT",51093,5,0.178432
2002,93,"ISLE OF WIGHT",51093,6,1.594736
2002,93,"ISLE OF WIGHT",51093,7,2.638842
2002,93,"ISLE OF WIGHT",51093,8,1.996905
2002,93,"ISLE OF WIGHT",51093,9,0.559691
2002,93,"ISLE OF WIGHT",51093,10,0
2002,93,"ISLE OF WIGHT",51093,11,0.000697
2002,93,"ISLE OF WIGHT",51093,12,0
2002,167,"RUSSELL",51167,1,0
2002,167,"RUSSELL",51167,2,0
2002,167,"RUSSELL",51167,3,1.998177
2002,167,"RUSSELL",51167,4,0
2002,167,"RUSSELL",51167,5,0
2002,167,"RUSSELL",51167,6,0
2002,167,"RUSSELL",51167,7,0
2002,167,"RUSSELL",51167,8,3.371823
2002,167,"RUSSELL",51167,9,0
2002,167,"RUSSELL",51167,10,0
2002,167,"RUSSELL",51167,11,0
2002,167,"RUSSELL",51167,12,0
2002,59,"FAIRFAX",51059,1,0.291368
2002,59,"FAIRFAX",51059,2,0.35002
2002,59,"FAIRFAX",51059,3,0.81356
2002,59,"FAIRFAX",51059,4,1.379268
2002,59,"FAIRFAX",51059,5,1.782264
2002,59,"FAIRFAX",51059,6,2.489872
2002,59,"FAIRFAX",51059,7,3.000712
2002,59,"FAIRFAX",51059,8,2.851244
2002,59,"FAIRFAX",51059,9,2.561768
2002,59,"FAIRFAX",51059,10,1.799292
2002,59,"FAIRFAX",51059,11,1.057628
2002,59,"FAIRFAX",51059,12,0.543004
2002,31,"CAMPBELL",51031,1,0
2002,31,"CAMPBELL",51031,2,0
2002,31,"CAMPBELL",51031,3,0.156624
2002,31,"CAMPBELL",51031,4,1.301184
2002,31,"CAMPBELL",51031,5,2.07828
2002,31,"CAMPBELL",51031,6,3.996924
2002,31,"CAMPBELL",51031,7,6.680616
2002,31,"CAMPBELL",51031,8,6.7017
2002,31,"CAMPBELL",51031,9,5.659548
2002,31,"CAMPBELL",51031,10,3.165612
2002,31,"CAMPBELL",51031,11,0.373488
2002,31,"CAMPBELL",51031,12,0
2002,43,"CLARKE",51043,1,0
2002,43,"CLARKE",51043,2,0
2002,43,"CLARKE",51043,3,0.020016
2002,43,"CLARKE",51043,4,0.181395
2002,43,"CLARKE",51043,5,1.002051
2002,43,"CLARKE",51043,6,2.23929
2002,43,"CLARKE",51043,7,2.991141
2002,43,"CLARKE",51043,8,2.859786
2002,43,"CLARKE",51043,9,2.085417
2002,43,"CLARKE",51043,10,0.968274
2002,43,"CLARKE",51043,11,0.146367
2002,43,"CLARKE",51043,12,0.016263
2002,83,"HALIFAX",51083,1,0
2002,83,"HALIFAX",51083,2,0.01386
2002,83,"HALIFAX",51083,3,0.047124
2002,83,"HALIFAX",51083,4,0.534996
2002,83,"HALIFAX",51083,5,0.903672
2002,83,"HALIFAX",51083,6,5.056128
2002,83,"HALIFAX",51083,7,10.28412
2002,83,"HALIFAX",51083,8,8.587656
2002,83,"HALIFAX",51083,9,1.641024
2002,83,"HALIFAX",51083,10,0.072072
2002,83,"HALIFAX",51083,11,0.58212
2002,83,"HALIFAX",51083,12,0
2002,800,"SUFFOLK CITY",51800,1,0.193344
2002,800,"SUFFOLK CITY",51800,2,0.3816
2002,800,"SUFFOLK CITY",51800,3,0.742848
2002,800,"SUFFOLK CITY",51800,4,1.088832
2002,800,"SUFFOLK CITY",51800,5,1.461952
2002,800,"SUFFOLK CITY",51800,6,2.34896
2002,800,"SUFFOLK CITY",51800,7,3.446272
2002,800,"SUFFOLK CITY",51800,8,3.012096
2002,800,"SUFFOLK CITY",51800,9,1.818112
2002,800,"SUFFOLK CITY",51800,10,1.272
2002,800,"SUFFOLK CITY",51800,11,0.792032
2002,800,"SUFFOLK CITY",51800,12,0.400256
2002,113,"MADISON",51113,1,0.59684
2002,113,"MADISON",51113,2,0.556588
2002,113,"MADISON",51113,3,0.89526
2002,113,"MADISON",51113,4,1.19368
2002,113,"MADISON",51113,5,1.809952
2002,113,"MADISON",51113,6,2.385972
2002,113,"MADISON",51113,7,1.550396
2002,113,"MADISON",51113,8,1.550396
2002,113,"MADISON",51113,9,1.19368
2002,113,"MADISON",51113,10,0.934124
2002,113,"MADISON",51113,11,0.59684
2002,113,"MADISON",51113,12,0.616272
2002,163,"ROCKBRIDGE",51163,1,0
2002,163,"ROCKBRIDGE",51163,2,0
2002,163,"ROCKBRIDGE",51163,3,0
2002,163,"ROCKBRIDGE",51163,4,0
2002,163,"ROCKBRIDGE",51163,5,0
2002,163,"ROCKBRIDGE",51163,6,0
2002,163,"ROCKBRIDGE",51163,7,7.012
2002,163,"ROCKBRIDGE",51163,8,10.518
2002,163,"ROCKBRIDGE",51163,9,0
2002,163,"ROCKBRIDGE",51163,10,0
2002,163,"ROCKBRIDGE",51163,11,0
2002,163,"ROCKBRIDGE",51163,12,0
2002,810,"VIRGINIA BEACH CITY",51810,1,0.154344
2002,810,"VIRGINIA BEACH CITY",51810,2,0.157176
2002,810,"VIRGINIA BEACH CITY",51810,3,0.331344
2002,810,"VIRGINIA BEACH CITY",51810,4,0.419136
2002,810,"VIRGINIA BEACH CITY",51810,5,0.528168
2002,810,"VIRGINIA BEACH CITY",51810,6,0.67968
2002,810,"VIRGINIA BEACH CITY",51810,7,0.751896
2002,810,"VIRGINIA BEACH CITY",51810,8,0.845352
2002,810,"VIRGINIA BEACH CITY",51810,9,9.46596
2002,810,"VIRGINIA BEACH CITY",51810,10,0.426216
2002,810,"VIRGINIA BEACH CITY",51810,11,0.237888
2002,810,"VIRGINIA BEACH CITY",51810,12,0.160008
